aX,aY,aZ,gX,gY,gZ
-1.909,-0.166,-3.592,-0.854,2.136,-1.709
-1.660,-0.439,-2.706,-68.787,428.955,8.301
-1.643,-0.515,-2.160,-134.094,664.612,-0.732
-1.687,-0.427,-1.460,-148.560,720.886,2.686
-1.787,-0.123,-1.229,-171.631,785.339,44.434
-1.821,-0.085,-1.142,-230.225,812.073,145.813
-1.737,-0.077,-0.765,-256.592,813.904,210.510
-1.496,-0.314,-0.274,-296.448,787.537,311.890
-1.331,-0.450,-0.162,-324.402,736.572,377.686
-0.792,-0.605,0.159,-332.214,688.782,380.798
-0.112,-0.447,0.341,-320.679,567.322,346.008
0.226,-0.339,0.338,-251.526,415.405,293.213
0.829,-0.011,0.149,-210.144,368.347,263.306
1.127,0.227,0.051,-143.188,333.130,212.341
1.111,0.322,0.016,-113.831,346.680,178.711
0.962,0.323,0.047,-66.284,362.915,116.211
0.978,0.300,0.121,-39.307,347.839,73.059
1.007,0.329,0.135,-26.917,332.947,54.443
0.976,0.315,0.149,-14.038,286.011,32.043
0.962,0.265,0.224,-13.672,224.060,28.870
0.984,0.250,0.246,-12.024,189.026,31.494
1.012,0.207,0.256,-3.967,130.249,41.504
1.077,0.149,0.256,11.902,87.158,43.152
1.104,0.150,0.271,22.583,72.815,40.466
1.122,0.100,0.203,49.194,50.354,23.315
1.065,0.113,0.114,59.814,18.982,6.348
1.058,0.118,0.119,64.148,7.263,2.930
0.971,0.104,0.020,73.730,-1.038,-13.306
0.925,0.097,-0.062,71.533,-10.925,-13.916
0.899,0.103,-0.084,66.956,-14.771,-13.672
0.894,0.092,-0.150,56.335,-22.949,-9.827
0.901,0.077,-0.176,47.424,-21.301,-4.333
0.916,0.072,-0.183,45.044,-18.677,-2.686
0.929,0.058,-0.237,38.940,-8.728,-3.723
0.927,0.075,-0.238,30.701,-6.653,-4.272
0.940,0.077,-0.250,27.405,-4.883,-5.798
0.947,0.074,-0.248,18.005,-2.502,-11.658
0.950,0.095,-0.241,12.207,-7.202,-19.775
0.935,0.105,-0.241,8.545,-10.559,-20.691
0.924,0.138,-0.230,4.761,-17.273,-23.193
0.911,0.143,-0.240,6.958,-21.973,-27.710
0.901,0.150,-0.247,6.714,-22.888,-27.771
0.881,0.178,-0.253,10.193,-22.766,-30.273
0.864,0.188,-0.265,14.832,-20.874,-32.837
0.864,0.190,-0.270,16.968,-20.020,-33.264
0.855,0.201,-0.291,17.212,-17.273,-29.541
0.852,0.216,-0.302,16.541,-15.076,-25.818
0.867,0.223,-0.303,15.015,-15.503,-23.254
0.867,0.208,-0.308,9.399,-16.663,-18.616
0.878,0.216,-0.312,5.737,-15.320,-14.099
0.883,0.219,-0.312,5.798,-15.564,-13.611
0.889,0.225,-0.326,8.118,-12.817,-12.939
0.905,0.217,-0.306,10.132,-8.850,-12.939
0.903,0.209,-0.317,12.146,-8.484,-13.184
0.915,0.218,-0.330,14.648,-7.690,-13.000
0.916,0.222,-0.336,14.404,-6.897,-12.817
0.896,0.212,-0.324,14.099,-5.981,-12.146
0.896,0.203,-0.323,13.489,-6.226,-11.292
0.900,0.213,-0.309,11.963,-5.615,-9.277
0.898,0.203,-0.309,12.756,-4.333,-9.705
0.912,0.207,-0.334,13.550,-0.549,-9.766
0.893,0.194,-0.306,12.268,1.160,-8.972
0.911,0.197,-0.308,11.414,0.732,-7.629
0.909,0.188,-0.305,11.169,0.854,-8.972
0.898,0.181,-0.316,9.399,0.061,-8.972
0.899,0.180,-0.309,7.019,-0.854,-8.301
0.903,0.189,-0.286,3.601,-3.540,-8.667
0.904,0.176,-0.279,3.296,-3.052,-9.583
0.892,0.192,-0.255,3.296,-1.160,-10.193
0.886,0.188,-0.252,7.324,0.916,-11.230
0.900,0.189,-0.236,12.390,3.601,-12.817
0.892,0.179,-0.249,14.709,5.005,-14.099
0.885,0.178,-0.243,17.883,7.690,-14.587
0.889,0.179,-0.253,17.334,6.897,-13.550
0.893,0.191,-0.260,16.357,5.005,-13.123
0.897,0.174,-0.263,12.695,1.160,-10.925
0.901,0.163,-0.281,8.972,-2.991,-9.583
0.912,0.154,-0.266,7.690,-4.089,-9.277
0.932,0.152,-0.271,5.615,-7.263,-9.216
0.927,0.147,-0.278,5.676,-7.935,-11.841
0.919,0.162,-0.279,7.690,-7.019,-12.329
0.920,0.160,-0.294,9.705,-6.104,-15.259

1.429,-0.006,1.092,148.682,-500.244,-142.639
1.349,-0.023,1.130,156.311,-663.269,-175.598
0.797,-0.163,1.046,122.925,-958.984,-236.145
0.024,-0.360,1.102,62.195,-1142.883,-255.798
-0.185,-0.295,1.260,56.396,-1186.829,-258.362
-0.512,-0.205,1.109,126.709,-1192.749,-273.315
-0.704,-0.208,0.549,256.592,-1095.337,-291.504
-0.793,-0.148,0.137,320.129,-1026.489,-288.452
-1.272,-0.058,-0.718,383.057,-902.649,-256.958
-1.866,0.094,-1.632,352.905,-812.866,-176.941
-1.953,0.287,-2.109,306.763,-749.451,-118.225
-2.332,0.095,-2.753,184.204,-542.114,-1.709
-2.063,-0.152,-2.797,88.989,-208.801,68.054
-1.885,-0.424,-2.663,38.940,-42.480,83.130
-1.528,-0.708,-2.238,-77.148,214.600,75.195
-1.252,-0.797,-1.844,-184.875,423.950,-6.409
-1.323,-0.795,-1.757,-216.370,527.222,-63.904
-1.573,-0.625,-1.767,-231.445,736.206,-168.701
-1.824,-0.526,-1.921,-241.699,894.287,-200.317
