aX,aY,aZ,gX,gY,gZ
-0.281,0.929,-0.088,-18.738,2.747,-20.447
-0.255,0.948,-0.041,-18.860,-0.122,-10.742
-0.247,0.964,-0.035,-16.418,-2.136,-0.244
-0.175,0.967,-0.028,-13.733,-5.432,5.981
-0.104,0.976,-0.025,-6.836,-13.794,14.587
-0.042,0.990,-0.028,-4.211,-18.250,18.982
0.038,1.010,-0.053,-4.089,-19.470,19.958
0.098,1.046,-0.084,-8.484,-19.836,19.348
0.115,1.046,-0.084,-13.123,-12.634,17.517
0.146,1.045,-0.050,-15.015,-8.423,20.081
0.193,1.059,-0.034,-18.616,-0.122,21.484
0.209,1.056,-0.018,-20.691,2.808,19.592
0.233,1.042,0.017,-21.057,2.686,19.958
0.249,1.031,0.062,-21.912,1.648,18.127
0.262,1.023,0.086,-19.897,-1.099,16.724
0.280,1.006,0.118,-12.756,-10.986,13.611
0.292,0.996,0.108,-7.263,-18.127,10.010
0.294,0.988,0.093,-4.700,-18.005,9.155
0.320,0.983,0.069,-1.831,-20.874,5.676
0.322,0.974,0.077,-1.038,-22.217,-3.540
0.309,0.992,0.067,0.122,-17.273,-6.653
0.299,0.978,0.084,2.808,-12.146,-7.751
0.289,0.968,0.053,4.761,-8.301,-9.583
0.267,0.963,0.053,4.456,-4.578,-9.155
0.245,0.963,0.061,3.784,3.174,-9.583
0.237,0.940,0.066,4.517,4.944,-6.775
0.242,0.957,0.071,4.150,4.578,-4.700
0.227,0.941,0.052,5.249,4.578,-4.639
0.237,0.953,0.067,9.155,2.258,-3.479
0.269,0.917,0.066,9.827,0.122,-3.784
0.309,0.914,0.040,9.521,-6.104,-9.460
0.263,0.919,0.070,11.963,-2.808,-14.465

2.018,-0.448,0.204,-101.746,-124.390,376.465
2.170,-0.488,0.194,-105.225,-130.554,324.890
2.216,-0.572,0.218,-112.671,-123.291,228.333
2.212,-0.649,0.232,-108.276,-88.806,159.912
2.208,-0.685,0.277,-100.403,-77.087,135.193
2.290,-0.753,0.346,-72.144,-53.650,99.243
2.438,-0.768,0.358,-35.461,-22.461,61.768
2.551,-0.783,0.372,-15.747,-9.277,35.522
2.728,-0.803,0.356,23.560,15.015,-31.860
2.774,-0.735,0.377,69.336,21.423,-125.977
2.864,-0.889,0.431,89.539,10.376,-191.223
2.825,-0.749,0.463,132.019,18.860,-313.965
2.563,-0.796,0.595,175.537,21.667,-447.815
2.413,-0.820,0.641,204.346,30.579,-511.597
2.122,-0.876,0.390,266.235,66.895,-620.178
1.633,-0.970,0.094,317.871,129.883,-703.247
1.382,-0.937,0.059,334.412,156.616,-731.812
1.034,-0.971,-0.103,345.093,145.447,-766.357
0.802,-0.898,-0.082,327.820,98.816,-777.527
0.345,-0.594,0.076,323.730,77.026,-771.973
0.007,-0.449,0.081,319.580,25.330,-721.497
-0.134,-0.239,0.053,320.679,23.987,-660.583
-0.420,-0.143,-0.056,325.134,40.527,-625.366
-0.821,0.076,-0.209,332.275,80.078,-543.091
-0.845,0.073,-0.427,315.613,83.130,-449.036
-1.014,0.114,-0.668,293.884,64.026,-422.363
-1.456,0.036,-0.841,244.385,29.846,-365.906
-1.710,0.336,-0.937,218.262,-0.122,-313.782
-2.089,0.602,-1.178,150.330,-15.259,-211.060
-2.261,0.602,-1.348,58.655,-2.930,-97.046
-2.295,0.579,-1.386,4.761,-3.662,-43.335
-2.238,0.480,-1.216,-105.530,-4.456,54.077
-2.186,0.346,-0.947,-197.937,5.981,136.292
-2.196,0.327,-0.818,-235.229,18.616,173.767
-2.128,0.214,-0.505,-297.424,44.006,249.634
-1.939,0.137,-0.169,-325.928,34.485,319.641
-1.785,0.104,-0.036,-327.576,20.691,347.778
-1.567,0.085,0.101,-320.618,-9.155,402.893
-1.310,0.060,0.147,-311.829,-52.307,475.037
-1.170,-0.003,0.125,-311.096,-73.975,512.451
-0.645,-0.204,0.015,-315.552,-126.221,580.750
-0.272,-0.143,-0.072,-329.285,-182.861,627.747
0.096,-0.563,-0.179,-333.069,-212.952,645.142
0.437,-0.857,-0.077,-354.126,-248.230,704.956
0.880,-1.266,0.071,-332.153,-247.375,771.851
1.139,-1.403,0.134,-300.476,-211.609,807.922
1.843,-1.541,0.125,-222.839,-107.727,833.130
3.120,-1.496,0.163,-173.279,-58.228,758.179
3.902,-1.388,0.109,-152.771,-42.725,665.039
3.969,-0.881,0.043,-180.481,4.089,356.873
3.912,-1.208,0.682,-197.083,32.654,57.617
3.418,-1.159,0.829,-180.481,66.467,-49.683
2.771,-1.167,0.923,-109.314,32.776,-173.645
2.545,-1.004,0.957,-22.400,13.306,-227.417
2.439,-0.945,0.959,22.156,22.400,-251.404
2.234,-0.860,0.893,102.783,61.035,-310.425
1.967,-0.746,0.750,165.588,100.159,-376.526
1.842,-0.770,0.669,190.247,116.089,-413.086
1.562,-0.687,0.571,227.173,123.413,-483.704
1.194,-0.639,0.539,252.563,124.451,-544.189
